"
                    Code
                ","
                    Title
                ","
                    Study As
                ","
                    Career
                ","
                    ATAR
                ","
                    Years
                ","
                    Delivery
                "
VEMDV,Master of Environmental Management and Development (Advanced),Single,Postgraduate,-,2,In Person
MENVS,Master of Environmental Science,Single,Postgraduate,-,2,In Person
VENVS,Master of Environmental Science (Advanced),Single,Postgraduate,-,2,In Person
7418XMFIN,Master of Finance,Single,Postgraduate,-,2,In Person
MFIEC,Master of Financial Economics,Single,Postgraduate,-,2,In Person
MFINM,Master of Financial Management,Single,Postgraduate,-,1,In Person
MFORE,Master of Forestry,Single,Postgraduate,-,2,In Person
VFORE,Master of Forestry (Advanced),Single,Postgraduate,-,2,In Person
MLING,Master of General and Applied Linguistics,Vertical,Postgraduate,-,2,In Person
VLING,Master of General and Applied Linguistics (Advanced),Single,Postgraduate,-,2,In Person
MGLOB,Master of Globalisation,Vertical,Postgraduate,-,2,In Person
VGLOB,Master of Globalisation (Advanced),Single,Postgraduate,-,2,In Person
MHIST,Master of History,Vertical,Postgraduate,-,2,In Person
VHIST,Master of History (Advanced),Single,Postgraduate,-,2,In Person
MINPP,Master of Innovation and Professional Practice,Vertical,Postgraduate,-,2,In Person
MIDEC,Master of International and Development Economics,Vertical,Postgraduate,-,2,In Person
MIDNK,Master of International and Development Economics - ANU-Nankai University,Single,Postgraduate,-,1.5,In Person
MIMGT,Master of International Management,Vertical,Postgraduate,-,2,In Person
VIMGT,Master of International Management (Advanced),Single,Postgraduate,-,2,In Person
MINTR,Master of International Relations,Vertical,Postgraduate,-,2,In Person
VINTR,Master of International Relations (Advanced),Single,Postgraduate,-,2,In Person
VIIMW,Master of Islam in the Modern World (Advanced),Single,Postgraduate,-,2,In Person
MLLM,Master of Laws,Single,Postgraduate,-,1,In Person
NLLEN,Master of Laws in Environmental Law,Single,Postgraduate,-,1,In Person
NLLGR,Master of Laws in Government and Regulation,Single,Postgraduate,-,1,In Person
NLLIL,Master of Laws in International Law,Single,Postgraduate,-,1,In Person
NLLSL,Master of Laws in International Security Law,Single,Postgraduate,-,1,In Person
NLLGD,"Master of Laws in Law, Governance and Development",Single,Postgraduate,-,1,In Person
NLLML,Master of Laws in Migration Law,Single,Postgraduate,-,1,In Person
MLEAD,Master of Leadership,Vertical,Postgraduate,-,2,In Person
VLEAD,Master of Leadership (Advanced),Single,Postgraduate,-,2,In Person
MLEGP,Master of Legal Practice,Single,Postgraduate,-,1.5,Multi-Modal
MMGMT,Master of Management,Vertical,Postgraduate,-,2,In Person
VMGMT,Master of Management (Advanced),Single,Postgraduate,-,2,In Person
MMKMT,Master of Marketing Management,Vertical,Postgraduate,-,2,In Person
VMKMT,Master of Marketing Management (Advanced),Single,Postgraduate,-,2,In Person
VMASC,Master of Mathematical Sciences (Advanced),Single,Postgraduate,-,2,In Person
MMECA,Master of Middle Eastern and Central Asian Studies,Single,Postgraduate,-,2,In Person
VMECA,Master of Middle Eastern and Central Asian Studies (Advanced),Single,Postgraduate,-,2,In Person
7829XMMDS,Master of Military and Defence Studies,Single,Postgraduate,-,1.5,In Person
7828XMMDSA,Master of Military and Defence Studies (Advanced),Single,Postgraduate,-,2,In Person
7316XMMIL,Master of Military Law,Single,Postgraduate,-,1,In Person
MMUHS,Master of Museum and Heritage Studies,Single,Postgraduate,-,2,In Person
VMUHS,Master of Museum and Heritage Studies (Advanced),Single,Postgraduate,-,2,In Person
MMUSI,Master of Music,Single,Postgraduate,-,2,In Person
VMUSI,Master of Music (Advanced),Single,Postgraduate,-,2,In Person
MNSPO,Master of National Security Policy,Single,Postgraduate,-,2,In Person
VNSPO,Master of National Security Policy (Advanced),Single,Postgraduate,-,2,In Person
MNEUR,Master of Neuroscience,Single,Postgraduate,-,2,In Person
VNEUR,Master of Neuroscience (Advanced),Single,Postgraduate,-,2,In Person
MNUCL,Master of Nuclear Science,Single,Postgraduate,-,2,In Person
8000XMPHIL,Master of Philosophy,Single,Research,-,2,In Person
8030XMPHIL,"Master of Philosophy (MPhil), ANU College of Law",Single,Research,-,2,In Person
8721XMPHIL,Master of Philosophy in Applied Epidemiology,Single,Research,-,2,In Person
8040XMPHIL,"Master of Philosophy, ANU College of Business and Economics",Single,Research,-,2,In Person
8070XMPHIL,"Master of Philosophy, ANU College of Engineering and Computer Science",Single,Research,-,2,In Person
8060XMPHIL,"Master of Philosophy, ANU Colleges of Science",Single,Research,-,2,In Person
8910XMPHIL,"Master of Philosophy, ANU Medical School",Single,Research,-,2,In Person
8603XMPHIL,"Master of Philosophy, Australian National Centre for the Public Awareness of Science",Single,Research,-,2,In Person
8540XMPHIL,"Master of Philosophy, Crawford School of Public Policy",Single,Research,-,2,In Person
8050XMPHIL,"Master of Philosophy, Culture, History and Languages",Single,Research,-,2,In Person
8065XMPHIL,"Master of Philosophy, Fenner School of Environment and Society",Single,Research,-,2,In Person
8510XMPHIL,"Master of Philosophy, International, Political and Strategic Studies",Single,Research,-,2,In Person
8710XMPHIL,"Master of Philosophy, John Curtin School of Medical Research",Single,Research,-,2,In Person
8650XMPHIL,"Master of Philosophy, Mathematical Sciences Institute",Single,Research,-,2,In Person
8350XMPHIL,"Master of Philosophy, National Centre for Indigenous Studies",Single,Research,-,2,In Person
8850XMPHIL,"Master of Philosophy, National Security College",Single,Research,-,2,In Person
8723XMPHIL,"Master of Philosophy, Psychology",Single,Research,-,2,In Person
8560XMPHIL,"Master of Philosophy, Regulation and Governance",Single,Research,-,2,In Person
8670XMPHIL,"Master of Philosophy, Research School of Astronomy and Astrophysics",Single,Research,-,2,In Person
8066XMPHIL,"Master of Philosophy, Research School of Biology",Single,Research,-,2,In Person
8620XMPHIL,"Master of Philosophy, Research School of Chemistry",Single,Research,-,2,In Person
8640XMPHIL,"Master of Philosophy, Research School of Earth Sciences",Single,Research,-,2,In Person
8551XMPHIL,"Master of Philosophy, Research School of Humanities and the Arts",Single,Research,-,2,In Person
8680XMPHIL,"Master of Philosophy, Research School of Physics and Engineering",Single,Research,-,2,In Person
8601XMPHIL,"Master of Philosophy, Research School of Population Health",Single,Research,-,2,In Person
8520XMPHIL,"Master of Philosophy, Research School of Social Sciences",Single,Research,-,2,In Person
MPLSC,Master of Political Science,Vertical,Postgraduate,-,2,In Person
VPLSC,Master of Political Science (Advanced),Single,Postgraduate,-,2,In Person
7413XMPACC,Master of Professional Accounting,Single,Postgraduate,-,1.5,In Person
MPROM,Master of Project Management,Single,Postgraduate,-,2,In Person
VPROM,Master of Project Management (Advanced),Single,Postgraduate,-,2,In Person
MPUAD,Master of Public Administration,Single,Postgraduate,-,2,In Person
MPUBH,Master of Public Health,Vertical,Postgraduate,-,2,In Person
VPUBH,Master of Public Health (Advanced),Single,Postgraduate,-,2,Multi-Modal
MPUPP,Master of Public Policy,Vertical,Postgraduate,-,2,In Person
MPPAU,Master of Public Policy/Master of Public Policy ANU - U Tokyo,Single,Postgraduate,-,2,In Person
MPPUT,Master of Public Policy/Master of Public Policy ANU-U Tokyo,Single,Postgraduate,-,2,In Person
VSCBS,Master of Science (Advanced) in Biological Sciences,Single,Postgraduate,-,2,In Person
VSCQB,Master of Science (Advanced) in Quantitative Biology and Bioinformatics,Single,Postgraduate,-,2,In Person
MSCOM,Master of Science Communication,Single,Postgraduate,-,2,Multi-Modal
7624XMSCO,Master of Science Communication Outreach,Single,Postgraduate,-,1,In Person
NSCBS,Master of Science in Biological Sciences,Vertical,Postgraduate,-,2,In Person
NSCQB,Master of Science in Quantitative Biology and Bioinformatics,Vertical,Postgraduate,-,2,In Person
MSCAU,Master of Science in Science Communication,Single,Postgraduate,-,1,In Person
MSRES,Master of Social Research,Single,Postgraduate,-,2,In Person
VSRES,Master of Social Research (Advanced),Single,Postgraduate,-,2,In Person
MSTAT,Master of Statistics,Single,Postgraduate,-,2,In Person
MSTST,Master of Strategic Studies,Vertical,Postgraduate,-,2,In Person
VSTST,Master of Strategic Studies (Advanced),Single,Postgraduate,-,2,In Person
MSTUD,Master of Studies,Single,Postgraduate,-,2,In Person
VSTUD,Master of Studies (Advanced),Single,Postgraduate,-,2,In Person
MTRAN,Master of Translation,Vertical,Postgraduate,-,2,In Person
VTRAN,Master of Translation (Advanced),Single,Postgraduate,-,2,In Person
MVISA,Master of Visual Arts,Single,Postgraduate,-,2,In Person
VVISA,Master of Visual Arts (Advanced),Single,Postgraduate,-,2,In Person
1140XNAWD,Non Award (ANU College of Business and Economics),Single,Non-award,-,,In Person
1302XNAWD,Non Award Cross Institutional,Single,Non-award,-,,In Person
1141XNAWD,Non Award Cross-Institutional (ANU College of Business and Economics),Single,Non-award,-,,In Person
1301XNAWD,Non Award Exchange Program (12 Months),Single,Non-award,-,1,In Person
1301XNAWD6,Non Award Exchange Program (6 Months),Single,Non-award,-,0.5,In Person
1150XNAWD,Non-Award (ANU College of Asia and the Pacific),Single,Non-award,-,,In Person
1170XNAWD,Non-Award (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
1160XNAWD,Non-Award (ANU Colleges of Science),Single,Non-award,-,,In Person
1190XNAWD,Non-Award (ANU Medical School),Single,Non-award,-,,In Person
1110XNAWD,Non-Award Arts (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
1111XNAWD,Non-Award Cross-Institutional (ANU College of Arts and Social Sciences),Single,Non-award,-,,In Person
1151XNAWD,Non-Award Cross-Institutional (ANU College of Asia and the Pacific),Single,Non-award,-,,In Person
1171XNAWD,Non-Award Cross-Institutional (ANU College of Engineering and Computer Science),Single,Non-award,-,,In Person
1131XNAWD,Non-Award Cross-Institutional (ANU College of Law),Single,Non-award,-,,In Person
1161XNAWD,Non-Award Cross-Institutional (ANU Colleges of Science),Single,Non-award,-,,In Person
1005XNAWD,Non-Award Cross-Institutional National Institute of the Arts/University of Canberra,Single,Non-award,-,,In Person
1130XNAWD,Non-Award Law (ANU College of Law),Single,Non-award,-,,In Person
1303XNAWD,Non-Award MOOC Exchange,Single,Non-award,-,1,In Person
1300XNAW12,Non-Award Study Abroad Program (12 Months),Single,Non-award,-,1,In Person
1300XNAWD6,Non-Award Study Abroad Program (6 Months),Single,Non-award,-,,In Person
